
#
-180.000000     0.036717
-169.914738     0.062635
-150.182704     0.153348
-122.119367     0.265659
-84.847747      0.408207
-45.383678      0.533477
-43.000000       0.527482
-41.000000       0.530885
-39.000000       0.534288
-37.000000       0.528571
-35.000000       0.513248
-33.000000       0.497924
-31.000000       0.482600
-29.000000       0.467276
-27.000000       0.451953
-25.000000       0.416920
-23.000000       0.374764
-21.000000       0.332608
-19.000000       0.290452
-17.000000       0.238177
-15.000000       0.175336
-13.000000       0.085176
-11.000000       0.029907
-9.000000       0.002152
-7.000000       0.001623
-5.000000       0.001818
-3.000000       0.002013
-1.000000       0.002207
1.000000       0.002402
3.000000       0.002597
5.000000       0.002792
7.000000       0.002986
9.000000       0.003181
11.000000       0.003376
13.000000       0.013600
15.000000       0.032951
17.000000       0.060633
19.000000       0.092297
21.000000       0.123961
23.000000       0.157220
25.000000       0.200529
27.000000       0.243839
29.000000       0.287148
31.000000       0.330457
33.000000       0.364475
35.000000       0.398403
37.000000       0.432331
39.000000       0.466259
41.000000       0.500187
43.000000       0.533927
45.000000       0.551580
47.000000       0.569232
49.000000       0.586885
51.000000       0.604537
53.000000       0.622189
55.000000       0.638904
57.000000       0.645843
59.000000       0.652782
61.000000       0.655156
63.000000       0.645551
65.000000       0.635947
67.000000       0.625216
69.000000       0.603688
71.000000       0.582160
73.000000       0.560632
75.000000       0.539104
77.000000       0.508452
79.147381       0.481641
100.633374      0.334773
132.643118      0.192225
160.706456      0.079914
180.000000      0.036717
